,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FL_PRESENCE_FL,OWN_AUTO,GEN_INDUSTRY,GEN_TITLE,JOB_DIR,WORK_TIME,FAMILY_INCOME,PERSONAL_INCOME,FACT_FO,TARGET
0,49,1,Среднее специальное,Состою в браке,2,1,1,0,0,0,Торговля,Рабочий,Вспомогательный техперсонал,18.0,от 10000 до 20000 руб.,5000.0,ПФО,0
2,32,1,Среднее,Состою в браке,3,3,1,0,0,0,Торговля,Рабочий,Участие в основ. деятельности,97.0,от 10000 до 20000 руб.,12000.0,СКФО,0
3,52,1,Неполное среднее,Состою в браке,4,0,1,0,0,0,Информационные технологии,Специалист,Участие в основ. деятельности,84.0,от 10000 до 20000 руб.,9000.0,СФО,0
4,39,1,Высшее,Состою в браке,1,1,1,0,1,0,Образование,Руководитель среднего звена,Участие в основ. деятельности,168.0,от 20000 до 50000 руб.,25000.0,ЮФО,0
5,30,0,Среднее,Состою в браке,0,0,1,0,0,0,Государственная служба,Специалист,Участие в основ. деятельности,101.0,от 10000 до 20000 руб.,12000.0,СКФО,0
6,29,0,Среднее,Гражданский брак,0,0,1,0,0,1,Торговля,Специалист,Адм-хоз. и трансп. службы,40.0,от 20000 до 50000 руб.,12000.0,ЦФО,0
7,35,0,Высшее,Разведен(а),1,1,1,0,1,0,Другие сферы,Специалист,Участие в основ. деятельности,6.0,от 20000 до 50000 руб.,15000.0,СЗФО,0
8,41,1,Среднее,Состою в браке,0,0,1,0,1,0,Сельское хозяйство,Рабочий,Участие в основ. деятельности,6.0,от 10000 до 20000 руб.,6000.0,ЮФО,0
9,53,0,Высшее,Состою в браке,2,0,1,0,0,0,Здравоохранение,Руководитель высшего звена,Участие в основ. деятельности,156.0,свыше 50000 руб.,100000.0,ЦФО,0
10,43,1,Среднее специальное,Состою в браке,0,0,1,0,1,0,Образование,Специалист,Участие в основ. деятельности,72.0,от 10000 до 20000 руб.,7000.0,ЮФО,0
11,54,1,Среднее специальное,Не состоял в браке,2,0,1,0,1,0,Образование,Служащий,Пр-техн. обесп. и телеком.,120.0,от 20000 до 50000 руб.,19000.0,СЗФО,0
12,26,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Другие сферы,Работник сферы услуг,Участие в основ. деятельности,27.0,от 10000 до 20000 руб.,18000.0,ДФО,1
13,62,0,Среднее,Гражданский брак,3,0,0,1,0,1,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,48.0,от 10000 до 20000 руб.,7000.0,ЦФО,1
